DATE,POLVOILUSDA
1990-01-01,3212.484
1991-01-01,3184.8615
1992-01-01,3177.9435
1993-01-01,2703.63525
1994-01-01,3148.84441666667
1995-01-01,4499.51272916667
1996-01-01,5965.18079166667
1997-01-01,4236.4825
1998-01-01,3227.04792083333
1999-01-01,3650.43763333333
2000-01-01,2980.1162
2001-01-01,2667.275
2002-01-01,2900.51023759811
2003-01-01,3796.76673977743
2004-01-01,4630.9342190982
2005-01-01,5519.1558153171
2006-01-01,5487.69481193637
2007-01-01,4561.02611898629
2008-01-01,4167.45310580228
2009-01-01,3509.33118560896
2010-01-01,3171.26485310504
2011-01-01,3062.23927945315
2012-01-01,3019.36752890551
2013-01-01,3894.45772743601
2014-01-01,3780.55597528378
2015-01-01,4292.83485806181
2016-01-01,3978.46626269784
2017-01-01,4529.79677196969
2018-01-01,3911.72898935919
2019-01-01,3166.3334533218
2020-01-01,2628.34203885503
